GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
build-lab,com.roxoft.aoc.y2015,Day1,76,0,7,0,14,0,10,0,6,0
build-lab,com.roxoft,InvalidNumeralException,4,0,0,0,2,0,1,0,1,0
build-lab,com.roxoft,RomanNumeral,175,23,21,1,37,8,16,4,2,4
build-lab,com.roxoft.lib,Analyse,34,0,2,0,10,0,4,0,3,0
build-lab,com.roxoft.lib,Coord2D,74,0,10,0,15,0,12,0,7,0
build-lab,com.roxoft.lib,Movable2DEntity,84,0,0,0,19,0,9,0,9,0
build-lab,com.roxoft.lib,From,55,0,2,0,12,0,5,0,4,0
build-lab,com.roxoft.aoc,UnexpectedSolutionException,4,0,0,0,2,0,1,0,1,0
build-lab,com.roxoft.aoc.y2015.Day3,Day3,138,0,9,0,34,0,16,0,10,0
build-lab,com.roxoft.aoc.y2015.Day4,Day4,63,0,6,0,13,0,8,0,5,0
build-lab,com.roxoft.test,RomanNumeral,175,23,21,1,37,8,16,4,2,4
build-lab,com.roxoft.test,InvalidRomanNumeralException,4,0,0,0,2,0,1,0,1,0
build-lab,com.roxoft.aoc.y2015.Day2,Parser,37,0,0,0,9,0,3,0,3,0
build-lab,com.roxoft.aoc.y2015.Day2,Day2,187,0,12,0,25,0,16,0,10,0
